concept_id,Extended_ID,Compact_ID,Mini_ID,ICD10-Block,ICD10-Chapter,Ethiopia Extended Name,Ethiopia Compact Name,Ethiopia Mini Name,Discrepancy among Ethiopia Names,Stripped Name,Ethiopia Name: Harmonized,Final-Name,Changes made to name? Yes/No,Notes on Final Name,WHO_ID,Orginal ICD10 Match: WHO_ID,ICD10 Match: Stripped Name,Discrepancy between ICD10 Match,Final ICD-10 Map Type,Final ICD-10 Map,Reference Only: ICD-10 Name,Change made to ICD-10 Map (based on WHO_ID)? Yes/No,Notes on Final ICD-10 Map,SAME-AS CIEL Map (Optional),SAME-AS ICD-10-CM Mapping (Optional),Secondary Mapping to WHO ICD-10 (Optional),Additional FMOH Action Recommended,Recommended Action for FMOH,Consolidated Review History
861,861,777,236,K55,Digestive System,Intestinal obstruction (Other and unspecified intestinal obstruction),Intestinal obstruction (Other and unspecified intestinal obstruction),Intestinal obstruction (Other and unspecified intestinal obstruction),No,Other and unspecified intestinal obstruction,Intestinal obstruction (Other and unspecified intestinal obstruction),Intestinal obstruction (Other and unspecified intestinal obstruction),No,,4714,K56.6,K56.6,No,Same As,K56.6,Other and unspecified intestinal obstruction,No,,,,,No,,
862,862,778,,K55,Digestive System,"Ileus, unspecified","Ileus, unspecified",,No,"Ileus, unspecified","Ileus, unspecified","Ileus, unspecified",No,,4715,K56.7,K56.7,No,Same As,K56.7,"Ileus, unspecified",No,,,,,No,,
863,863,779,,K55,Digestive System,Diverticular disease of intestine,Diverticular disease of intestine,,No,Diverticular disease of intestine,Diverticular disease of intestine,Diverticular disease of intestine,No,,4716,K57.-,K57.-,No,Same As,K57.9,"Diverticular disease of intestine, part unspecified, without perforation or abscess",Yes,Mapped to .9 rather than category header,,,,No,,"JP: FMOH originally mapped to category header, but no fully unspecified descendant exists. How should this be mapped? 

AK: K57.9"
864,864,780,,K55,Digestive System,Irritable bowel syndrome,Irritable bowel syndrome,,No,Irritable bowel syndrome,Irritable bowel syndrome,Irritable bowel syndrome,No,,4725,K58.-,K58.-,No,Same As,K58.9,Irritable bowel syndrome without diarrhoea,Yes,Mapped to .9 rather than category header,,,,No,,"JP: FMOH originally mapped to category header, but no fully unspecified descendant exists. How should this be mapped? 

AK: K58.9"
865,865,781,237,K55,Digestive System,Constipation,Constipation,Constipation,No,Constipation,Constipation,Constipation,No,,4729,K59.0,K59.0,No,Same As,K59.0,Constipation,No,,,,,No,,
866,866,782,238,K55,Digestive System,Diarrhea (Functional diarrhoea),Diarrhea (Functional diarrhoea),Diarrhea (Functional diarrhoea),No,Functional diarrhoea,Diarrhea (Functional diarrhoea),Diarrhea (Functional diarrhoea),No,,4730,K59.1,K59.1,No,Same As,K59.1,Functional diarrhoea,No,,139753,,,Yes,"Review #866-868 together. #866 is a same as map to K59.1 ""functional diarrhoea"". #867 and #868 would typically be narrower than maps to K59.9, however, based on how the codes are being used, the FMOH may choose to instead define narrower-than maps to K59.1. For the time being, we retained the narrower-than maps to K59.1 which is how the FMOH originally mapped these terms.","DT: Duplicate mappings-- Extended codes ""866 Diarrhea (Functional diarrhoea)"", ""867 Persistent Diarrhea (Functional diarrhoea)"", and ""868 Severe Persistent Diarrhea (Functional diarrhoea)"" all appear to link to the same ICD-10 code ""K59.1 Functional diarrhoea"".

FMOH: not a duplicate; this are program additions; they should be stated as is but mapped to same WHO ID.

ASK: Functional diarrhea is mapped to K59.1 and is CIEL code 139753.

JP: Review along with 2 related terms below 

AK: See recommendations below. Diarrhea is poorly defined. Functional diarrhea is different than chronic or severe diarrhea in coding. Roll-up reporting cannot be assumed in the ICD numbering all the time, so need to address that more fundamental question. "
867,867,783,239,K55,Digestive System,Persistent Diarrhea (Functional diarrhoea),Persistent Diarrhea (Functional diarrhoea),Persistent Diarrhea (Functional diarrhoea),No,Functional diarrhoea,Persistent Diarrhea (Functional diarrhoea),Persistent Diarrhea (Functional diarrhoea),No,,4730,K59.1,K59.1,No,Narrower Than,K59.1,Functional diarrhoea,No,,5018,,,Yes,See comment for #866,"DT: Duplicate mappings-- Extended codes ""866 Diarrhea (Functional diarrhoea)"", ""867 Persistent Diarrhea (Functional diarrhoea)"", and ""868 Severe Persistent Diarrhea (Functional diarrhoea)"" all appear to link to the same ICD-10 code ""K59.1 Functional diarrhoea"".

FMOH: not a duplicate; this are program additions; they should be stated as is but mapped to same WHO ID.

ASK: Persistent diarrhea is chronic diarrhea and is mapped to ICD K52.9. CIEL code 5018

JP: FMOH intends to roll-up #866, #867, and #868 -- however, ASK recommendation is for #866 to map to K59.1 while the others would map to K52.9, which would limit the ability to roll-up for reporting. It appears to me that #867 and #868 should instead have ""narrower than"" maps to K59.1, which seems to be how the FMOH is thinking of both. Please advise on how we should map this."
868,868,784,240,K55,Digestive System,Severe Persistent Diarrhea (Functional diarrhoea),Severe Persistent Diarrhea (Functional diarrhoea),Severe Persistent Diarrhea (Functional diarrhoea),No,Functional diarrhoea,Severe Persistent Diarrhea (Functional diarrhoea),Severe Persistent Diarrhea (Functional diarrhoea),No,,4730,K59.1,K59.1,No,Narrower Than,K59.1,Functional diarrhoea,No,,126626,,,Yes,See comment for #866,"DT: Duplicate mappings-- Extended codes ""866 Diarrhea (Functional diarrhoea)"", ""867 Persistent Diarrhea (Functional diarrhoea)"", and ""868 Severe Persistent Diarrhea (Functional diarrhoea)"" all appear to link to the same ICD-10 code ""K59.1 Functional diarrhoea"".

FMOH: not a duplicate; this are program additions; they should be stated as is but mapped to same WHO ID.

ASK: Recommend that you map to Severe diarrhea CIEL 126626 which map to K52.9. The question is whether the chronicity is more important than the etiology.

JP: FMOH intends to roll-up #866, #867, and #868 -- however, ASK recommendation is for #866 to map to K59.1 while the others would map to K52.9, which would limit the ability to roll-up for reporting. It appears to me that #867 and #868 should instead have ""narrower than"" maps to K59.1, which seems to be how the FMOH is thinking of both. Please advise on how we should map this."
869,869,785,,K55,Digestive System,"Anal Fissure (Anal fissure, unspecified)","Anal Fissure (Anal fissure, unspecified)",,No,"Anal fissure, unspecified","Anal Fissure (Anal fissure, unspecified)","Anal Fissure (Anal fissure, unspecified)",No,,4739,K60.2,K60.2,No,Same As,K60.2,"Anal fissure, unspecified",No,,,,,No,,
870,870,786,,K55,Digestive System,Fistula (Anal fistula),Fistula (Anal fistula),,No,Anal fistula,Fistula (Anal fistula),Fistula (Anal fistula),No,,4740,K60.3,K60.3,No,Same As,K60.3,Anal fistula,No,,,,,No,,
871,871,787,,K55,Digestive System,Fistula (Rectal fistula),Fistula (Rectal fistula),,No,Rectal fistula,Fistula (Rectal fistula),Fistula (Rectal fistula),No,,4741,K60.4,K60.4,No,Same As,K60.4,Rectal fistula,No,,,,,No,,
872,872,788,241,K55,Digestive System,Fistula (Anorectal fistula),Fistula (Anorectal fistula),Fistula (Anorectal fistula),No,Anorectal fistula,Fistula (Anorectal fistula),Fistula (Anorectal fistula),No,,4742,K60.5,K60.5,No,Same As,K60.5,Anorectal fistula,No,,,,,No,,
873,873,789,242,K55,Digestive System,Prolapse (Anal prolapse),Prolapse (Anal prolapse),Prolapse (Anal prolapse),No,Anal prolapse,Prolapse (Anal prolapse),Prolapse (Anal prolapse),No,,4752,K62.2,K62.2,No,Same As,K62.2,Anal prolapse,No,,,,,No,,
874,874,790,243,K55,Digestive System,Prolapse (Rectal prolapse),Prolapse (Rectal prolapse),Prolapse (Rectal prolapse),No,Rectal prolapse,Prolapse (Rectal prolapse),Prolapse (Rectal prolapse),No,,4753,K62.3,K62.3,No,Same As,K62.3,Rectal prolapse,No,,,,,No,,
875,875,791,,K55,Digestive System,Stricture (Stenosis of anus and rectum),Stricture (Stenosis of anus and rectum),,No,Stenosis of anus and rectum,Stricture (Stenosis of anus and rectum),Stricture (Stenosis of anus and rectum),No,,4754,K62.4,K62.4,No,Same As,K62.4,Stenosis of anus and rectum,No,,,,,No,,
876,876,792,244,K55,Digestive System,Haemorrhage (Haemorrhage of anus and rectum),Haemorrhage (Haemorrhage of anus and rectum),Haemorrhage (Haemorrhage of anus and rectum),No,Haemorrhage of anus and rectum,Haemorrhage (Haemorrhage of anus and rectum),Haemorrhage (Haemorrhage of anus and rectum),No,,4755,K62.5,K62.5,No,Same As,K62.5,Haemorrhage of anus and rectum,No,,,,,No,,
877,877,793,,K55,Digestive System,Abscess (Abscess of intestine),Abscess (Abscess of intestine),,No,Abscess of intestine,Abscess (Abscess of intestine),Abscess (Abscess of intestine),No,,4761,K63.0,K63.0,No,Same As,K63.0,Abscess of intestine,No,,,,,No,,
878,878,794,245,K65,Digestive System,Peritonitis,Peritonitis,Peritonitis,No,Peritonitis,Peritonitis,Peritonitis,No,,4769,K65.-,K65.-,No,Same As,K65.9,"Peritonitis, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,No,,"JP: Advise on whether this should be retired or mapped -- if mapped, to which code? Look also at #880, which may be duplicative. 

AK: Peritonitis is different from abscess. If we use the parenthetical statement only then this is duplicated, but assuming they mean peritoneal abscess for 860, then these both would stay. This mapped to K65.9"
879,879,795,,K65,Digestive System,Acute peritonitis,Acute peritonitis,,No,Acute peritonitis,Acute peritonitis,Acute peritonitis,No,,4770,K65.0,K65.0,No,Same As,K65.0,Acute peritonitis,No,,,,,No,,
880,880,796,,K65,Digestive System,"Abscess (Peritonitis, unspecified)","Abscess (Peritonitis, unspecified)",,No,"Peritonitis, unspecified","Abscess (Peritonitis, unspecified)","Abscess (Peritonitis, unspecified)",No,,4772,K65.9,K65.9,No,Same As,K65.9,"Peritonitis, unspecified",No,,,,,No,,"JP: Please confirm that this is approriately mapped to .9 -- especially if #878 is not retired. How should this be mapped? 

AK: Could be K65.9 or K65.0 if abscess is acute."
881,881,797,,K65,Digestive System,Haemoperitoneum,Haemoperitoneum,,No,Haemoperitoneum,Haemoperitoneum,Haemoperitoneum,No,,4775,K66.1,K66.1,No,Same As,K66.1,Haemoperitoneum,No,,,,,No,,
882,882,798,,K65,Digestive System,Tuberculous peritonitis,Tuberculous peritonitis,,No,Tuberculous peritonitis,Tuberculous peritonitis,Tuberculous peritonitis,No,,4782,K67.3*,K67.3*,No,Same As,K67.3,Tuberculous peritonitis,Yes,Mapped to .3 rather than category header,,,,No,,"JP: Confirm whether map to K67.3* and use of asterisk is appropriate

AK: Correct. No need for asterisk."
883,883,799,,K70,Digestive System,Alcoholic fatty liver,Alcoholic fatty liver,,No,Alcoholic fatty liver,Alcoholic fatty liver,Alcoholic fatty liver,No,,4785,K70.0,K70.0,No,Same As,K70.0,Alcoholic fatty liver,No,,,,,No,,
884,884,800,,K70,Digestive System,Alcoholic cirrhosis of liver,Alcoholic cirrhosis of liver,,No,Alcoholic cirrhosis of liver,Alcoholic cirrhosis of liver,Alcoholic cirrhosis of liver,No,,4788,K70.3,K70.3,No,Same As,K70.3,Alcoholic cirrhosis of liver,No,,,,,No,,
885,885,801,,K70,Digestive System,Chronic hepatic failure,Chronic hepatic failure,,No,Chronic hepatic failure,Chronic hepatic failure,Chronic hepatic failure,No,,4804,K72.1,K72.1,No,Same As,K72.1,Chronic hepatic failure,No,,,,,No,,
886,886,802,,K70,Digestive System,"Chronic hepatitis, unspecified","Chronic hepatitis, unspecified",,No,"Chronic hepatitis, unspecified","Chronic hepatitis, unspecified","Chronic hepatitis, unspecified",No,,4811,K73.9,K73.9,No,Same As,K73.9,"Chronic hepatitis, unspecified",No,,,,,No,,
887,887,803,,K70,Digestive System,Fibrosis and cirrhosis of liver,Fibrosis and cirrhosis of liver,,No,Fibrosis and cirrhosis of liver,Fibrosis and cirrhosis of liver,Fibrosis and cirrhosis of liver,No,,4812,K74.-,K74.-,No,Same As,K74.6,Other and unspecified cirrhosis of liver,Yes,"Mapped to .6 ""other and unspecified"" rather than to category header",,,,No,,
888,888,804,,K70,Digestive System,Abscess of liver,Abscess of liver,,No,Abscess of liver,Abscess of liver,Abscess of liver,No,,4821,K75.0,K75.0,No,Same As,K75.0,Abscess of liver,No,,,,,No,,
889,889,805,,K70,Digestive System,"Fatty (change of) liver, not elsewhere classified","Fatty (change of) liver, not elsewhere classified",,No,"Fatty (change of) liver, not elsewhere classified","Fatty (change of) liver, not elsewhere classified","Fatty (change of) liver, not elsewhere classified",No,,4829,K76.0,K76.0,No,Same As,K76.0,"Fatty (change of) liver, not elsewhere classified",No,,,,,No,,
890,890,806,,K70,Digestive System,Portal hypertension,Portal hypertension,,No,Portal hypertension,Portal hypertension,Portal hypertension,No,,4835,K76.6,K76.6,No,Same As,K76.6,Portal hypertension,No,,,,,No,,
891,891,807,,K70,Digestive System,Hepatorenal syndrome,Hepatorenal syndrome,,No,Hepatorenal syndrome,Hepatorenal syndrome,Hepatorenal syndrome,No,,4836,K76.7,K76.7,No,Same As,K76.7,Hepatorenal syndrome,No,,,,,No,,
892,892,808,,K70,Digestive System,"Liver disease, unspecified","Liver disease, unspecified",,No,"Liver disease, unspecified","Liver disease, unspecified","Liver disease, unspecified",No,,4838,K76.9,K76.9,No,Same As,K76.9,"Liver disease, unspecified",No,,,,,No,,
893,893,809,,K80,Digestive System,Cholelithiasis,Cholelithiasis,,No,Cholelithiasis,Cholelithiasis,Cholelithiasis,No,,4842,K80.-,K80.-,No,Same As,K80.2,Calculus of gallbladder without cholecystitis,Yes,Mapped to .2 rather than category header,,,,Yes,Confirm mapping to .2,"JP: FMOH originally mapped to category header and no .9 unspecified exists. How should this be mapped? 

AK: Would probably map to K80.2"
894,894,810,,K80,Digestive System,Calculus Of Gallbladder (Calculus of gallbladder with acute cholecystitis),Calculus Of Gallbladder (Calculus of gallbladder with acute cholecystitis),,No,Calculus of gallbladder with acute cholecystitis,Calculus Of Gallbladder (Calculus of gallbladder with acute cholecystitis),Calculus Of Gallbladder (Calculus of gallbladder with acute cholecystitis),No,,4843,K80.0,K80.0,No,Same As,K80.0,Calculus of gallbladder with acute cholecystitis,No,,,,,No,,
895,895,,,K80,Digestive System,Calculus of gallbladder (Calculus of gallbladder without cholecystitis),,,No,Calculus of gallbladder without cholecystitis,Calculus of gallbladder (Calculus of gallbladder without cholecystitis),Calculus of gallbladder (Calculus of gallbladder without cholecystitis),No,,4845,K80.2,K80.2,No,Same As,K80.2,Calculus of gallbladder without cholecystitis,No,,,,,No,,
896,896,811,,K80,Digestive System,Calculus Of Bile Duct (Calculus of bile duct with cholangitis),Calculus Of Bile Duct (Calculus of bile duct with cholangitis),,No,Calculus of bile duct with cholangitis,Calculus Of Bile Duct (Calculus of bile duct with cholangitis),Calculus Of Bile Duct (Calculus of bile duct with cholangitis),No,,4846,K80.3,K80.3,No,Same As,K80.3,Calculus of bile duct with cholangitis,No,,,,,No,,
897,897,812,,K80,Digestive System,Cholecystitis,Cholecystitis,,No,Cholecystitis,Cholecystitis,Cholecystitis,No,,4850,K81.-,K81.-,No,Same As,K81.9,"Cholecystitis, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,No,,
898,898,813,,K80,Digestive System,Acute cholecystitis,Acute cholecystitis,,No,Acute cholecystitis,Acute cholecystitis,Acute cholecystitis,No,,4851,K81.0,K81.0,No,Same As,K81.0,Acute cholecystitis,No,,,,,No,,
899,899,814,,K80,Digestive System,Chronic cholecystitis,Chronic cholecystitis,,No,Chronic cholecystitis,Chronic cholecystitis,Chronic cholecystitis,No,,4852,K81.1,K81.1,No,Same As,K81.1,Chronic cholecystitis,No,,,,,No,,
900,900,,,K80,Digestive System,Cholecystitis (Other cholecystitis),,,No,Other cholecystitis,Cholecystitis (Other cholecystitis),Cholecystitis (Other cholecystitis),No,,4853,K81.8,K81.8,No,Same As,K81.8,Other cholecystitis,No,,,,,No,,
901,901,815,,K80,Digestive System,Cholangitis,Cholangitis,,No,Cholangitis,Cholangitis,Cholangitis,No,,4864,K83.0,K83.0,No,Same As,K83.0,Cholangitis,No,,,,,No,,
902,902,816,,K80,Digestive System,Acute pancreatitis,Acute pancreatitis,,No,Acute pancreatitis,Acute pancreatitis,Acute pancreatitis,No,,4872,K85.-,K85.-,No,Same As,K85.9,"Acute pancreatitis, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,No,,
903,903,817,,K90,Digestive System,Intestinal malabsorption,Intestinal malabsorption,,No,Intestinal malabsorption,Intestinal malabsorption,Intestinal malabsorption,No,,4889,K90.-,K90.-,No,Same As,K90.9,"Intestinal malabsorption, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,Yes,Recommend retiring this diagnosis as it is a duplicate of #906,"JP: Confirm recommendation to retire. 

AK: Yes"
904,904,818,,K90,Digestive System,Coeliac disease,Coeliac disease,,No,Coeliac disease,Coeliac disease,Coeliac disease,No,,4890,K90.0,K90.0,No,Same As,K90.0,Coeliac disease,No,,,,,No,,
905,905,819,,K90,Digestive System,Tropical Ulcer (Tropical sprue),Tropical Ulcer (Tropical sprue),,No,Tropical sprue,Tropical Ulcer (Tropical sprue),Tropical Ulcer (Tropical sprue),No,,4891,K90.1,K90.1,No,Same As,K90.1,Tropical sprue,No,,,,,No,,
906,906,820,,K90,Digestive System,"Malabsorption (Intestinal malabsorption, unspecified)","Malabsorption (Intestinal malabsorption, unspecified)",,No,"Intestinal malabsorption, unspecified","Malabsorption (Intestinal malabsorption, unspecified)","Malabsorption (Intestinal malabsorption, unspecified)",No,,4896,K90.9,K90.9,No,Same As,K90.9,"Intestinal malabsorption, unspecified",No,,,,,No,,
907,907,821,,K90,Digestive System,"Postprocedural disorders of digestive system, not elsewhere classified","Postprocedural disorders of digestive system, not elsewhere classified",,No,"Postprocedural disorders of digestive system, not elsewhere classified","Postprocedural disorders of digestive system, not elsewhere classified","Postprocedural disorders of digestive system, not elsewhere classified",No,,4897,K91.-,K91.-,No,Same As,K91.9,"Postprocedural disorder of digestive system, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,No,,
908,908,822,,K90,Digestive System,Haematemesis,Haematemesis,,No,Haematemesis,Haematemesis,Haematemesis,No,,4907,K92.0,K92.0,No,Same As,K92.0,Haematemesis,No,,,,,No,,
909,909,823,,K90,Digestive System,Melaena,Melaena,,No,Melaena,Melaena,Melaena,No,,4908,K92.1,K92.1,No,Same As,K92.1,Melaena,No,,,,,No,,
910,910,824,246,K90,Digestive System,"Haemorrhage (Gastrointestinal haemorrhage, unspecified)","Haemorrhage (Gastrointestinal haemorrhage, unspecified)","Haemorrhage (Gastrointestinal haemorrhage, unspecified)",No,"Gastrointestinal haemorrhage, unspecified","Haemorrhage (Gastrointestinal haemorrhage, unspecified)","Haemorrhage (Gastrointestinal haemorrhage, unspecified)",No,,4909,K92.2,K92.2,No,Same As,K92.2,"Gastrointestinal haemorrhage, unspecified",No,,,,,No,,
911,911,825,,K90,Digestive System,"Disease of digestive system, unspecified","Disease of digestive system, unspecified",,No,"Disease of digestive system, unspecified","Disease of digestive system, unspecified","Disease of digestive system, unspecified",No,,4911,K92.9,K92.9,No,Same As,K92.9,"Disease of digestive system, unspecified",No,,,,,No,,
912,912,826,,L00,Skin & Subcutaneous,Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome,,No,Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome,No,,4916,L00,L00,No,Same As,L00,Staphylococcal scalded skin syndrome,No,,,,,No,,
913,913,827,247,L00,Skin & Subcutaneous,Impetigo (Bullous),Impetigo (Bullous),Impetigo (Bullous),No,Impetigo,Impetigo (Bullous),Impetigo (Bullous),No,,4917,L01.-,L01.-,No,Same As,L01.0,Impetigo [any organism] [any site],Yes,Mapped to .0 rather than category header,,,,Yes,Recommend retiring due to duplication,"JP: FMOH originally mapped to category header and no .9 exists. L01.0 is essentially the ""unspecified"" diagnosis for this category, and is already included below. It appears to me that this should be retired due to duplication with #914. Please advise. 

AK: Correct, duplicate and can be retiredn"
914,914,828,,L00,Skin & Subcutaneous,Impetigo Contagiosa (Impetigo [any organism] [any site]),Impetigo Contagiosa (Impetigo [any organism] [any site]),,No,Impetigo [any organism] [any site],Impetigo Contagiosa (Impetigo [any organism] [any site]),Impetigo Contagiosa (Impetigo [any organism] [any site]),No,,4918,L01.0,L01.0,No,Same As,L01.0,Impetigo [any organism] [any site],No,,,,,No,,
915,915,829,,L00,Skin & Subcutaneous,"Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle",,No,"Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle",No,,4920,L02.-,L02.-,No,Same As,L02.9,"Cutaneous abscess, furuncle and carbuncle, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,No,,
916,916,830,,L00,Skin & Subcutaneous,Cellulitis,Cellulitis,,No,Cellulitis,Cellulitis,Cellulitis,No,,4928,L03.-,L03.-,No,Same As,L03.9,"Cellulitis, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,Yes,Recommend retiring as it is a duplicate of #920,"JP: Confirm recommendation to retire. 

AK: Yes"
917,917,,,L00,Skin & Subcutaneous,Cellulitis of finger and toe,,,No,Cellulitis of finger and toe,Cellulitis of finger and toe,Cellulitis of finger and toe,No,,4929,L03.0,L03.0,No,Same As,L03.0,Cellulitis of finger and toe,No,,,,,No,,
918,918,,,L00,Skin & Subcutaneous,Cellulitis of other parts of limb,,,No,Cellulitis of other parts of limb,Cellulitis of other parts of limb,Cellulitis of other parts of limb,No,,4930,L03.1,L03.1,No,Same As,L03.1,Cellulitis of other parts of limb,No,,,,,No,,
919,919,,,L00,Skin & Subcutaneous,Cellulitis of other sites,,,No,Cellulitis of other sites,Cellulitis of other sites,Cellulitis of other sites,No,,4933,L03.8,L03.8,No,Same As,L03.8,Cellulitis of other sites,No,,,,,No,,
920,920,,,L00,Skin & Subcutaneous,"Cellulitis, unspecified",,,No,"Cellulitis, unspecified","Cellulitis, unspecified","Cellulitis, unspecified",No,,4934,L03.9,L03.9,No,Same As,L03.9,"Cellulitis, unspecified",No,,,,,No,,
921,921,,,L00,Skin & Subcutaneous,Acute lymphadenitis,,,No,Acute lymphadenitis,Acute lymphadenitis,Acute lymphadenitis,No,,4935,L04.-,L04.-,No,Same As,L04.9,"Acute lymphadenitis, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,No,,
922,922,831,,L00,Skin & Subcutaneous,Pyoderma,Pyoderma,,No,Pyoderma,Pyoderma,Pyoderma,No,,4946,L08.0,L08.0,No,Same As,L08.0,Pyoderma,No,,,,,No,,
923,923,832,,L10,Skin & Subcutaneous,Pemphigus Vulgaris,Pemphigus Vulgaris,,No,Pemphigus vulgaris,Pemphigus Vulgaris,Pemphigus Vulgaris,No,,4951,L10.0,L10.0,No,Same As,L10.0,Pemphigus vulgaris,No,,,,,No,,
924,924,833,,L10,Skin & Subcutaneous,Pemphigoid,Pemphigoid,,No,Pemphigoid,Pemphigoid,Pemphigoid,No,,4964,L12.-,L12.-,No,Same As,L12.9,"Pemphigoid, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,No,,
925,925,834,,L10,Skin & Subcutaneous,Others Bullous Disorders (Other bullous disorders),Others Bullous Disorders (Other bullous disorders),,No,Other bullous disorders,Others Bullous Disorders (Other bullous disorders),Others Bullous Disorders (Other bullous disorders),No,,4971,L13.-,L13.-,No,Same As,L13.9,"Bullous disorder, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,Yes,Recommend retiring as it is a duplicate of #927,"JP: Confirm recommendation to retire. 

AK: Yes"
926,926,835,,L10,Skin & Subcutaneous,Dermatitis Herpetiformis,Dermatitis Herpetiformis,,No,Dermatitis herpetiformis,Dermatitis Herpetiformis,Dermatitis Herpetiformis,No,,4972,L13.0,L13.0,No,Same As,L13.0,Dermatitis herpetiformis,No,,,,,No,,
927,927,836,,L10,Skin & Subcutaneous,"Bullous Disorders (Bullous disorder, unspecified)","Bullous Disorders (Bullous disorder, unspecified)",,No,"Bullous disorder, unspecified","Bullous Disorders (Bullous disorder, unspecified)","Bullous Disorders (Bullous disorder, unspecified)",No,,4975,L13.9,L13.9,No,Same As,L13.9,"Bullous disorder, unspecified",No,,,,,No,,
928,928,,,L10,Skin & Subcutaneous,Bullous Disorders (Bullous disorders in diseases classified elsewhere),,,No,Bullous disorders in diseases classified elsewhere,Bullous Disorders (Bullous disorders in diseases classified elsewhere),Bullous Disorders (Bullous disorders in diseases classified elsewhere),No,,4976,L14*,L14*,No,Same As,L14,Bullous disorders in diseases classified elsewhere,Yes,Removed asterisk,,,,No,,"JP: Confirm that a mapping to L14* is appropriate. 

AK: Yes but no asterisk"
929,929,837,248,L20,Skin & Subcutaneous,Dermatitis (Atopic dermatitis),Dermatitis (Atopic dermatitis),Dermatitis (Atopic dermatitis),No,Atopic dermatitis,Dermatitis (Atopic dermatitis),Dermatitis (Atopic dermatitis),No,,4977,L20.-,L20.-,No,Same As,L20.9,"Atopic dermatitis, unspecified",Yes,"Mapped to .9 ""unspecified"" rather than to category header",,,,Yes,Recommend retiring as it is a duplicate of #934,"JP: Confirm recommendation to retire due to duplication 

AK: Need to straighten out these naming conventions. This is impossible to code this way. Atopic eczema is different from flexural eczema, etc. They have different mappings."
930,930,,,L20,Skin & Subcutaneous,Dermatitis (Atopic) (Flexural eczema),,,No,Other atopic dermatitis,Dermatitis (Atopic) (Flexural eczema),Dermatitis (Atopic) (Flexural eczema),No,,4979,L20.8,L20.8,No,Narrower Than,L20.8,Other atopic dermatitis,No,Mapped to L20.0 to match revised name,,ICD-10-CM : L20.82 : Flexural eczema,,No,,"DT: Further specificity found in ICD-10-CM. Confirm mapping.

FMOH: ICD10-CM is a detail of ICD10, but just for clinical management/reporting purpose. Similarly, diseases picked by our study together with program-based reporting were not specified in ICD10. Hence, we systematically customized and mapped those diseases to ICD10.

JP: Confirm narrower than mapping to L20.8 and advise on whether to create same as ICD-10-CM mapping 

AK: Flexural eczema maps to L20.0"
931,931,,,L20,Skin & Subcutaneous,Dermatitis (Atopic) (Infantile (acute) (chronic) eczema),,,No,Other atopic dermatitis,Dermatitis (Atopic) (Infantile (acute) (chronic) eczema),Dermatitis (Atopic) (Infantile (acute) (chronic) eczema),No,,4979,L20.8,L20.8,No,Narrower Than,L20.8,Other atopic dermatitis,No,,,ICD-10-CM : L20.83 : Infantile (acute) (chronic) eczema,,No,,"DT: Further specificity found in ICD-10-CM. Confirm mapping.

FMOH: ICD10-CM is a detail of ICD10, but just for clinical management/reporting purpose. Similarly, diseases picked by our study together with program-based reporting were not specified in ICD10. Hence, we systematically customized and mapped those diseases to ICD10.

JP: Confirm narrower than mapping to L20.8 and advise on whether to create same as ICD-10-CM mapping"
932,932,,,L20,Skin & Subcutaneous,Dermatitis (Atopic) (Intrinsic (allergic) eczema),,,No,Other atopic dermatitis,Dermatitis (Atopic) (Intrinsic (allergic) eczema),Dermatitis (Atopic) (Intrinsic (allergic) eczema),No,,4979,L20.8,L20.8,No,Narrower Than,L20.8,Other atopic dermatitis,No,,,ICD-10-CM : L20.84 : Intrinsic (allergic) eczema,,No,,"DT: Further specificity found in ICD-10-CM. Confirm mapping.

FMOH: ICD10-CM is a detail of ICD10, but just for clinical management/reporting purpose. Similarly, diseases picked by our study together with program-based reporting were not specified in ICD10. Hence, we systematically customized and mapped those diseases to ICD10.

JP: Confirm narrower than mapping to L20.8 and advise on whether to create same as ICD-10-CM mapping"
