Indicator ID,HMIS Category 1,HMIS Category 2,HMIS Category 3,HMIS Category 4,Indicator Title,Definition,Class,Datatype,Formula Type,Formula: Numerator,Formula: Denominator,Formula: Multiplier,Interpretation,Disaggregation,Recommendation,Primary Sources,Reporting Frequency,Applicable Reporting Units,Instruments,HSTP Indicator Map,WHO IMR Mappings,Logical Groupings,Notes
C1.4.2.1.8,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Percentage of ART patients with an undetectable viral load at 12 month after initiation of ART ,"The proportion of adult and pediatric patients on ART with an undetectable viral load <1,000 copies/ml at 12 months.",Indicator,Numeric,Indicator,"Number of adult and pediatric patients with an undetectable viral load <1,000 copies/ml at 12 months",Number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period with a viral load count at 12 month visit.,100,"This indicator could provide information that can contribute to quality improvement activities designed to maximize rates of viral suppression in patients on ART and therefore prevent the acquisition of HIV drug resistance. The increasing ART coverage in resource-limited settings in the absence of routine viral load monitoring is raising concerns about the development of resistance to first-line ART regimens, long-term individual patient outcomes, and increased risk of transmission of HIV, including drug-resistant HIV. To sustain the progress made in reducing morbidity and mortality from HIV through ART, it is important that HIV-infected patients continue to have access to safe, tolerable, and potent ARVs. To accomplish this, the use of viral load testing to monitor HIV treatment will need to be expanded. ",None,,"ART Register, PMTCT register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.9,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,"Proportion of clinically undernourished People Living with HIV (PLHIV) who received therapeutic or supplementary food ",The proportion of individuals receiving therapeutic or supplementary food among those whose nutritional status was assessed and found to be clinically undernourished,Indicator,Numeric,Indicator,Number of clinically undernourished PLHIV that received therapeutic or supplementary food,Number of PLHIV that were nutritionally assessed and found to be clinically undernourished.,100,"The purpose of this indicator is to assess progress toward providing therapeutic and supplementary food to clinically undernourished PLHIV that receive therapeutic or supplementary food. Provision of therapeutic and supplementary food to undernourished PLHIV is a key component of treatment, care, and support for PLHIV. Undernutrition significantly increases mortality risk for HIV-infected individuals regardless of treatment status. Therapeutic and supplementary foods are essential and proven interventions to manage and treat undernutrition. Programs in several countries provide food support to clinically undernourished clients, including therapeutic food products for severely undernourished PLHIV and supplementary food products for moderately and mildly undernourished PLHIV. 

The indicator enables the scale and coverage of these services to be tracked and monitors the extent to which these services are reaching those that need them. Provision of therapeutic and supplementary food is generally accompanied by other nutrition services, such as nutrition assessment & counseling;measuring coverage of therapeutic and supplementary food is a strong indicator of the extent to which the larger package of nutrition care services is reaching PLHIV. ","Age: <1, 1-4, 5-14, 15-19, 20+ 

Sex: Male/Female

Pregnancy status: Non pregnant and Pregnant

ART status: ART/No ART",,"Pre-ART register, ART register and PMTCT registers",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.10,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number of HIV-positive adults and children currently receiving clinical care,Number of HIV positive adults and children who received at least one of the following during the reporting period: clinical assessment (WHO staging) OR CD4 count OR viral load ,Indicator,Numeric,Count,Number of HIV positive adults and children who received at least one of the following during the reporting period: clinical assessment (WHO staging) OR CD4 count OR viral load,,,"This indicator is designed to monitor receipt of perhaps the most basic clinical service for PLHIV – i.e. a basic assessment of clinical and immune status. The services defined above – WHO staging, CD4 count, and viral load – represent “proxy” measures for such an assessment; these were selected because many programs routinely track these services in existing systems (e.g. pre-ART or ART registers). All HIV-positive individuals should receive a regular, periodic assessment of clinical and immune status, in addition to other essential services such as assessment for symptoms of tuberculosis or need for OI prophylaxis or ART. This indicator applies to all PLHIV receiving clinical care, including those who have not yet started ART (in pre-ART phase), as well as those on ART; it also applies to PLHIV receiving PMTCT services. ","Age: <1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+

Sex: Male; Female ",,"Pre-ART register, ART register and PMTCT registers",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.11,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number of HIV-positive adults and children newly enrolled in clinical care ,Number of HIV-positive adults and children newly enrolled in clinical care during the reporting period who received at least one of the following at enrollment: clinical assessment (WHO staging) OR CD4 count OR viral load,Indicator,Numeric,Count,Number of HIV-positive adults and children newly enrolled in clinical care during the reporting period who received at least one of the following at enrollment: clinical assessment (WHO staging) OR CD4 count OR viral load,,,"This indicator is intended to monitor the linkage between HIV testing and counseling and clinical care programs. It can be used in comparison with other program indicators to evaluate the quality of care and determine the linkage to care within HIV programs. This can be accomplished by comparing the overall number of those ‘newly’ testing HIV positive and the number newly enrolled in clinical care within a specified time period. 

On a program level, it may be possible to track the linkage of individual patients, if appropriate linkage & referral tools exist within the system. ","Age: <1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+

Sex: Male; Female ",,"Pre-ART register, ART register and PMTCT registers",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.12,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number of persons provided with Post-exposure prophylaxis (PEP)  ,Number of persons provided with post-exposure prophylaxis (PEP) for risk of HIV infection through occupational and/or non-occupational exposure to HIV.,Indicator,Numeric,Count,Number of persons provided with post-exposure prophylaxis (PEP) for risk of HIV infection as per the national guideline.,,,"Individuals should be counted only if they have received PEP drugs (in accordance with national protocols).This indicator does not intend to capture the type and quality of PEP services provided. PEP services include first aid, counseling, testing, provision of ARVs, medical care, trauma counseling, linkages with police, and other follow-up and support. Simple monitoring of PEP availability through program records does not ensure that all PEP-related services are adequately provided to those who need them. The indicator can be generated by counting the number of individuals receiving PEP for occupational and non-occupational purposes. Individuals should be counted only one (1) time, not incidence. 

PEP services for occupational exposure include a comprehensive package of services for occupationally exposed health care workers and patients. Individuals should be counted only if they have received PEP drugs.

PEP services for non-occupational exposure include for sexual violence and should be counted only if they have received PEP drugs.","Exposure type: Occupational, Non occupational ",,Post exposure prophylaxis register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.13,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Health Facilities Providing ART that Experienced Stock-Outs of at least one required ARV,Percentage of health facilities dispensing ARVs that experienced a stock-out of at least one required ARV in the last 12 months ,Indicator,Numeric,Indicator,Number of health facilities dispensing ARVs that experienced one or more stock-outs of at least one required ARV drug in the last 12 months,Total number of health facilities dispensing ARVs,100,"This indicator captures a crucial component of the ART program: whether or not there is a continuous, uninterrupted supply of ARV drugs at the health facility level. This indicator does not, however, provide information on why stock-out problems occur; which ARV drug(s) are/were out of stock; or how long the stock-out lasted for a particular ARV drug. It also does not provide information on the quality of ARV drug storage, delivery, and distribution. Simply monitoring stock-outs could be misleading because a facility may keep reserve stock, but may have a policy of not issuing the reserve stock. These facilities would not be counted as having experienced a stock-out using this indicator definition, though from a patient perspective, a required ARV drug would not be available for treatment. In settings where reserve stock is not issued during ARV stock-outs, it is preferable to collect information on a functional stock-out (i.e., the inability to access or make use of a required ARV drug).                                                 ",None,,Program records; Logistics Management Information System (LMIS),Annually,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.14,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Percentage of HIV infected women on HIV care and using a modern family planning method ,Percentage of HIV infected women using a modern family planning method,Indicator,Numeric,Indicator,Number of HIV infected women on HIV care and aged 15-49 reporting the use of any method of modern family planning,Total number of HIV infected non-pregnant women on HIV care aged 15-49,100,"This indicator is a subset of contraceptive prevalence rate, but focuses specifically on HIV-infected women to measure progress in prong 2 (“prevent unwanted pregnancies among women living with HIV”) of the four prongs of PMTCT. Contraceptive prevalence rate serves as a proxy measure of access to reproductive health services that are essential for meeting many of the Millennium Development Goals, especially those related to child mortality, maternal health, HIV/AIDS, and gender equality. 

All women, irrespective of HIV status, need services that can help them make informed reproductive decisions and provide them with contraceptive options, if and when they are desired. By enabling women living with HIV to prevent or delay pregnancy, access to these services could avert HIV infection in infants, reduce unintended exposure to maternal mortality risk and improve child survival.

Preventing unintended pregnancies in women living with HIV is a critical step towards reducing mother-to-child transmission and is a core component of the international standards for a comprehensive approach to PMTCT.","Age: 15-19, 20-24, 25-49 years",,"ART register, Pre-ART register, PMTCT register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.2.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Tuberculosis case detection rate (all forms),Proportion of all forms of TB (New and relapse) cases detected during a specified time period.,Indicator,Numeric,Indicator,Number of all forms of TB (New and Relapse cases detected during reporting period),Estimated number of all forms of TB cases in the population during the same period,100,"TB case detection rate is one of the key indicators in evaluating the effectiveness of TB control. The highest priority in TB control is the identification of the infectious cases, i.e. patients with sputum smear-positive pulmonary tuberculosis (PTB+). However, identification and treatment of all forms of TB cases, i.e. patients with sputum smear-positive and smear negative pulmonary tuberculosis (PTB-) and extra-pulmonary tuberculosis (EPTB) and other previously treated TB cases with unknown and undocumented treatment outcome is important to measure the burden of the disease and to monitor the effectiveness of the treatment program. TB case detection rate is calculated as the number of newly detected all forms of TB cases (including relapses) divided by the total number of TB cases estimated to occur in the area during a given time period. The denominator is provided by annual WHO-Estimates .","Age: 0-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65+, Unknown

Sex: Male, Female

Types of TB: New and Relapse bacteriologically Confirmed (Smear microscopy, Culture, or WRD such as Xpert MTB/RIF)
New clinically diagnosed( Pulmonary TB negative, Extra Pulmonary TB),  ",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,57,,,Denominator is provided by annual WHO estimates
C1.4.2.2.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Tuberculosis re-treatment rate,"The Proportion of re-treatment TB Cases (Relapse, Treatment –after -failures Treatment –after -lost to follow up  & other previous treated with unknown or undocumented treatment outcome) among all forms of TB cases detected  in the reporting period ",Indicator,Numeric,Indicator,Total number of retreatment TB cases,"Total number of all forms of TB cases registered during reporting period",100,"This indicator represents the percentage of TB patients who require more extensive treatment and should be suspected of having acquired drug resistance. Ineffective treatment or incorrect administration of medication may result in a large proportion of retreatment cases, which points to deficiencies in the medication used and/or non adherence to DOTS on the part of patients and providers. This indicator indirectly reveals the effectiveness of the National TB Program, since under a well-functioning TB control program, retreatment cases should make up a smaller proportion than new cases. Additionally, relapse is more likely in patients with HIV, so the indicator should be interpreted in light of HIV prevalence. ","Sex: Male, Female

Type: Treatment  after Relapse, treatment after Failure, treatment after lost to follow up cases, other previously treated cases",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.2.3,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Cure rate for bacteriologically confirmed new PTB cases (CR),The percentage of a cohort of new bacteriologically confirmed PTB cases that were cured as demonstrated by bacteriologic evidence in the reporting period.,Indicator,Numeric,Indicator,number of cohort of new bacteriologically confirmed TB cases registered during specified cohort period and cured  ,Total number of new bacteriologically confirmed PTB cases registered in the same cohort period,100,"TB cases recorded as cured must have a negative sputum smear result recorded during the last month of treatment and on at least on one previous occasion during treatment. This indicator measures the program’s capacity to retain patients through a complete course of chemotherapy with a favorable clinical result. TB cure rate is the key indicator in evaluating the effectiveness of TB control. TB treatment cure rates can be calculated at all Health Centers and hospitals that provide DOTS services. Cure rate at woredas, regions, and FMOH can also be calculated by aggregating the reported data from health facilities that provide DOTS. ",None,,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,59,,,
C1.4.2.2.4,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Treatment Success Rate (TSR) among bacteriologically confirmed NEW PTB cases ,Proportion of new bacteriologically confirmed PTB cases registered during specific cohort period that successfully completed treatment (cured plus completed treatment).  ,Indicator,Numeric,Indicator,Number of  cohort of new bacteriologically confirmed PTB cases registered during the same period of the previous year that were cured plus the number completed treatment ,Total number of new bacteriologically confirmed PTB cases registered in the same cohort period,100,"Successful completion entails clinical success with or without bacteriological evidence of cure. This indicator measures the program’s capacity to retain patients through a complete course of chemotherapy with a favorable clinical result. Treatment success rate measures the effectiveness of the program in settings where it may not be possible to perform a sputum test at the completion of treatment. The TB treatment success can be estimated and monitored at Health Centers and hospitals that provide DOTS services, Woredas, regions, and FMOH.",None,,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,58?,,,
C1.4.2.2.5,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Treatment success rate among clinically diagnosed new TB cases  ,Percentage of clinically diagnosed (EPTB and P/ Negative TB) cases who  completed treatment  ,Indicator,Numeric,Indicator,Number of  clinically diagnosed cohort of TB cases registered  during the same period of the previous year that completed the treatment ,The total number of new clinically diagnosed TB cases registered during the same cohort period,100,"As this group of TB patients accounts for about 60-70% of all TB cases notified annually, the status of their treatment outcome should be assessed. The only favorable treatment outcome for this group of patients is completing the whole course of anti TB treatment. Thus, this indicator measures the program’s capacity to retain all patients through a complete course of chemotherapy with a favorable clinical result. High treatment completion rate indicates the effectiveness of the program as well as completion of TB treatment with favorable clinical result. TB treatment completion rate for EP and P/Negative TB cases can be estimated at all Health Centers and hospitals that provide DOTS services. Treatment success rate at woredas, regions, and FMOH can also be calculated by aggregating the reported data from health facilities that provide DOTS. New clinically diagnosed TB cases refer to  EPTB and P/negative TB cases  ",EPTB and PTB Negative,,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,58?,,,
C1.4.2.2.6,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Death rate among all forms of TB cases,"The percentage of a cohort of new all forms of TB cases registered in a specified period that died during treatment, irrespective of the cause.",Indicator,Numeric,Indicator,"The number of  new all forms of TB cases registered in the same period of the previous year that died during treatment, irrespective of the cause",The total number of new all forms of TB cases registered during the same cohort period,100,"This indicator indicates the quality and effectiveness of the treatment. This indicator is significant in the context of HIV prevalence, since a high proportion of HIV-associated TB will result in greater number of deaths. This is one of the important indicators used to evaluate the progress of the country towards achieving the MDGs. The target in the MDG is to reduce TB deaths by half by 2015 compared to the 1990 level. TB death rates can be estimated at all Health Centers and hospitals that provide DOTS services, woredas, regions, and FMOH.",None,,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.7,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Lost to follow up rate among all forms of TB cases,"The percentage of a cohort of new all form of TB cases (Bacteriologically confirmed, clinically diagnosed) registered in a specified period that interrupted treatment for more than 2 consecutive months",Indicator,Numeric,Indicator,The number of all forms of TB cases registered in the specific cohort period that interrupted treatment for more than two consecutive months,The total number of new all forms of TB cases registered during the same cohort period,100,"This indicator measures the capacity of the program to retain patients through a complete course of chemotherapy. The TB lost to follow up rate can be estimated at all Health Centers and hospitals that provide DOTS services, woredas, regions, and FMOH. ",None,,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.8,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,TB case detection through community TB care,Total TB cases (all forms)  referred by the community as proportion of  all TB cases notified  during reporting period,Indicator,Numeric,Indicator,Number of notified TB cases (all forms) referred by the community to a health facility for TB diagnosis during the reporting period,Total number of TB cases (all forms) diagnosed during the same period,100,"The indicator is intended to measure the extent of community involvement in TB-related issues. Efficient community involvement translates into early detection of cases, one of the main and most effective strategies for reducing the transmission of TB. The community in the context of community TB care refers to trained community volunteers, Health Development Army, health extension workers or, community members supporting patients(treatment supporter) ","Sex: Male, Female",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.9,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Proportion of TB cases (all forms) provided treatment observation (DOT) by community among all TB cases. ,"Proportion of TB cases (all forms) provided treatment observation (DOT)  by theCommunity among all TB cases. ",Indicator,Numeric,Indicator,Number of Cohort TB cases (all forms)  given DOT by the community during a specified period,The total number of cohort TB cases(all forms) registered during the same cohort period,100,"Evidence has shown that community-based treatment results in treatment success rates comparable to or higher than those of hospital- or facility-based treatment. In settings with high-quality implementation, the vast majority of patients choose community-based treatment. The indicator therefore is intended to measure the scope and quality of implementation of community involvement as well as the acceptability of the initiative to patients with TB. The data for calculating this  indicator should be reported along with treatment outcome report for the same cohort",None,,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.10,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Proportion of AFB Microscopy centers (HF) with adequate EQA performance ,Proportion of facilities participating in EQA that showed concordance  of 95% on EQA blind rechecking results ,Indicator,Numeric,Indicator,Number of AFB Microscopy Centers (HC and Hospitals) with  95% concordance result on EQA blind rechecking  during the previous quarter,Total number of laboratory with AFB Microscopy service (Hospital and HCs) that are participated on EQA  during the same quarter,100,"This indicator is a measure of adequacy of performance on EQA for AFB microscopy services. The numerator is the number of AFB microscopy centers (health facilities) with concordance results of 95% and above on EQA blinded rechecking during the previous quarter. The denominator is the total number of AFB microscopy centers that participated in EQA blind rechecking and received written EQA feedback from respective EQA center during the previous quarter.This indicator should be collected in quarterly basis. This indicator will be compiled at the woreda health office by counting the number of HF that participated in EQA for TB microscopy and that have documented feedback report  in the previous quarter. The woreda health office should keep copy of EQA feedback.

Laboratories are expected to achieve and maintain AFB microcopy services to a high quality level of >=95% concordance result on blind rechecking (percentage of AFB slides with same result with second reader i.e.  >=95%).

The woreda health office should retain a copy of the EQA feedback report of each health facility and this can be used as a source of information for the indicators. The second option to compile this indicator is by checking the copy of the feedback report documented at each laboratory unit. ","Ownership: public, private",,Administrative record with facilities self reporting,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.11,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Proportion of TB cases (all forms) contributed by private sector ,TB cases (all forms) contributed through referral and / or diagnosis by private sector (all types of private and nongovernmental),Indicator,Numeric,Indicator,Number of TB cases (all forms) referred &/or diagnosed through private health facilities during the reporting period,Total number of TB cases (all forms) registered during reporting period. ,100,"This indicator measures the contribution of the private sector in detecting all forms of   TB cases. A patient diagnosed at a private facility and referred to a public facility for diagnosis and/or initiation of anti TB treatment should be considered as a private contribution and be included in the numerator.Private health facilities include hospitals and clinics run by nongovernmental organizations and faith-based organizations.  ",None,,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.12,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Proportion of presumptive MDR TB cases with result for drug susceptibility testing (DST)  ,Proportion of  presumptive MDR TB  for whom DST is performed during the specified period ,Indicator,Numeric,Indicator,Number of presumptive MDR TB for whom DST is performed for at least rifampicin during previous reporting Quarter,Total number presumptive TB cases eligible for DST during previous reporting quarter,,"Culture and drug susceptibility tests (DST) for rifampicin and isoniazid are indicated for patients suspected to harbor drug-resistant TB strains. The group of patients eligible for DST are  new TB cases who are smear positive at end of 3 months, all retreatment TB cases (Relapse, after lost to follow up, after failure of new regimen, after failure of re treatment regimen) and presumptive TB who have contact with confirmed MDR-TB cases.

This indicator measures the availability and access to diagnostic drug susceptibility testing for at least rifampicin. Early detection of resistance is intended to ensure an appropriate drug regimen from the start and presumably increase likelihood of success and alleviate amplification of resistance patterns. Limited resources usually mean that DST is reserved for patients considered at increased risk of drug resistance. 

This indicator can be estimated on a quarterly basis at the hospital and health center level only if they have eligible cases during reporting period. Since DST eligible group of patients are very few in number at the lower levels (Health center, Hospital and WoHOs), it is better to monitor the indicator using the absolute number. At ZoHO, RHBs and national level proportion can be used to estimate these indicators.","Sex: Male, Female

Age: < 15, >=15yrs",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.13,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Number of MDR TB cases detected,The Number of  MDR/RR-TB cases detected during the reporting  period ,Indicator,Numeric,Count,Number of  MDR/RR-TB cases detected during  reporting  period                                   ,,,"Culture and Drug susceptibility tests (DST) for rifampicin and isoniazid are indicated in patients suspected to harbor drug-resistant TB strains. This indicator is useful to estimate the burden of MDR-TB in the country. Furthermore, it helps national TB control program for planning of MDR-TB treatment expansion, forecasting, quantification and procurement of SLDs and reagents. This group of patients are all eligible for second-line drugs TB treatment and ideally should be  number enrolled to SLDs    ","ex: Male ,Female

Type: RR, MDR 

Age:  <15, >= 15",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.14,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,MDR-TB cases enrolled on Second Line Drugs (SLDs),Number of  MDR/RR-TB cases started on second-line anti-TB  treatment regimen during the reporting period,Indicator,Numeric,Count,Number of MDR/RR-TB cases registered and started on a prescribed MDR-TB  treatment regimen during reporting period,,,"This indicator measures the capacity of programs to enroll MDR/RR-TB cases on appropriate treatment. The program manager is responsible for ensuring that all cases in which MDR/RR-TB is detected are placed on appropriate treatment in the shortest time possible. Early detection of resistance is intended to ensure a correct  drug  regimen  from  the  start  and  lower  risks  of  further  amplification  of  drug  resistance. 

A comparison of the number of enrolled MDR-TB cases to those detected gives an indication of access to care. It is a crude indicator given that patients started on treatment during a given period may have been detected prior to the period of assessment. The number of confirmed MDR/RR-TB cases detected will be collected through MDR-TB surveillance system.","Sex:  Male, Female   

HIV status: Positive, Negative , Unknown HIV Status  

Registration group:  New, Previously Treated, Unknown Treatment History",,MDR-TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.15,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,MDR TB Treatment six month interim result,"A  cohort of MDR-TB cases for whom six month interim result  has been determined ( negative, positive, died, LTFU, and not evaluated) among those enrolled on second-line anti-TB treatment during the year of assessment",Indicator,Numeric,Indicator,"Number of cohort of MDR-TB cases enrolled on second-line anti-TB treatment for whom six month Interim result ( negative, died, LTFU and not evaluated) has been determined during  reporting period","Number of MDR-TB cases initiated on second-line anti-TB treatment regimen during a same cohort period.",100,"Treatment for MDR-TB typically takes two years or more. The Program manager often needs an indication of how patients are managing well before final outcomes can be assessed, typically two to three years after the start of enrolment. This is particularly important when a drug-resistant TB treatment Program starts. Assessing culture conversion (for confirmed pulmonary cases) and death by six months is widely used as a proxy of final outcomes. Information on lost to follow up cases  by 6 months is helpful. It is also useful to know how many patients started on second-line drugs for MDR that turned out not to be MDR. And likewise for XDR. 

All patients registered and starting treatment during the period of assessment are included in the calculation. Indicators are measured nine months after the end of the quarter of assessment. This gives sufficient time for culture results at month 6 to be issued and retrieved. ","Interim  outcome: Negative culture result, Positive culture result, Died, Lost to follow up, Not evaluated ",,MDR-TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.2.16,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.2 Tuberculosis,Final outcome MDR-TB cases,"A  cohort of MDR-TB cases for whom final outcome (cured, completed, failed, died, lost to follow up, not evaluated)  has been determined among thoseenrolled on second-line anti-TB treatment during the year of assessment",Indicator,Numeric,Indicator,Number of cohort of MDR-TB cases enrolled on second-line anti-TB treatment during  reporting period for whom final outcome has been determined,"Total  number  of  MDR-TB  cases  enrolled  on  second-line  anti-TBtreatment during the same cohort period",100,"This report shows the final treatment outcomes for patients enrolled in the MDR-TB Program showing overall success of the program over a full treatment regimen cycle. The annual report should be completed 24 and 36 months after the last patient in the cohort starts treatment. Most of the patients will have finished treatment by 24 months and this allows preliminary assessment for one of six outcomes: cured; treatment completed; failed; lost follow up; died; and not evaluated. Since a few patients may be on treatment for longer than 24 months, the form is completed again at 36 months after the last patient in the cohort starts treatment. The 36-month evaluation will then considered the final result. The final report is prepared by using data from the MDR-TB register kept at the TICs","By outcome: Cured, Completed, Failed, Died, Lost to follow up, Not evaluated",,MDR-TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.3.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.3 Leprosy,Leprosy case notification,Proportion of new leprosy cases detected among eligible population ,Indicator,Numeric,Indicator,Total number of  leprosy cases detected during reporting period,Estimated number of  population in the catchment area,"10,000","The number of leprosy cases reflects on the performance of the leprosy control program. Active case-finding campaigns, whether directed towards the total population of an area or towards specific groups (such as school children), will lead to the detection of more cases than if a program depends upon self-reporting by people who suspect they may have the disease. It has also been shown that the number of cases detected increases with the frequency of examinations: very frequent examinations will identify a number of self-healing cases that would otherwise never have come forward.","Age: 0-14, >=15 

Sex: Male, Female

Type: Paucibacillary, Multibacillary",,Leprosy register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.3.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.3 Leprosy,Grade II disability rate among new cases of leprosy,The proportion of new cases of leprosy with disability grade II at the time of diagnosis.,Indicator,Numeric,Indicator,Total number of new leprosy cases having disability grade II at  time of diagnosis during reporting period,Total number of new leprosy cases detected during the same period,100,"This indicator measures the quality and effectiveness of the case-finding activities. A high disability rate among new cases signals that cases are detected late during the course of the disease.  If the rate is high, it is essential to strengthen case-finding activities and develop health education in order to encourage the population to seek treatment before disabilities appear.","Age :<15 ;>=15    
Sex: Male, Female",,Leprosy register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
